ma_bds,dien_tich_su_dung_m2,gia(ty),title,phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,chieu_dai_m,chieu_rong_m,loai_hinh
22703690,150.0,12.0,"Bán Nhà hẻm, ngõ Giang Cao",Sổ đỏ,2025-10-24,Giang Cao,None,Hà Nội,1,2,150.0,28.5,5.1,nha
22656738,46.0,7.85,"Bán Nhà hẻm, ngõ Định Công",Sổ đỏ,2025-10-24,Định Công - Phường Định Công,Hoàng Mai,Hà Nội,3,5,46.0,12.0,4.0,nha
22643688,240.0,16.0,"Bán Nhà mặt tiền, phố Trần Quốc Hoàn",Sổ đỏ,2025-10-24,Trần Quốc Hoàn - Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,4,6,40.0,10.0,4.0,nha
22705497,140.0,105.0,Bán Đất thổ cư Yết Kiêu,Sổ đỏ,2025-10-24,Yết Kiêu - Phường Nguyễn Du,Hai Bà Trưng,Hà Nội,6,6,140.0,20.0,7.0,dat
22703691,170.0,17.0,"Bán Nhà hẻm, ngõ Giang Cao",Sổ đỏ,2025-10-24,Giang Cao,None,Hà Nội,1,2,170.0,19.0,9.0,nha
22643664,420.0,17.5,"Bán Nhà mặt tiền, phố Hoa Bằng",Sổ đỏ,2025-10-24,Hoa Bằng - Phường Yên Hòa,Cầu Giấy,Hà Nội,13,13,70.0,12.5,5.6,nha
22656455,55.0,8.8,Bán Căn hộ dịch vụ Giáp Nhị,Sổ đỏ,2025-10-24,Giáp Nhị - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,5,11,,,,mat_bang
22706035,210.0,152.0,"Bán Nhà mặt tiền, phố Thọ Tháp",Sổ đỏ,2025-10-24,Thọ Tháp - Phường Dịch Vọng,Cầu Giấy,Hà Nội,8,7,210.0,15.0,14.0,nha
22704780,175.0,6.8,"Bán Nhà hẻm, ngõ Thúy Lĩnh",Sổ đỏ,2025-10-24,Thúy Lĩnh - Phường Lĩnh Nam,Hoàng Mai,Hà Nội,4,3,35.0,9.0,4.1,nha
22706473,450.0,36.0,"Bán Biệt thự, liền kề Khu nhà ở 90 Nguyễn Tuân",Sổ đỏ,2025-10-24,Nguyễn Tuân - Phường Thanh Xuân Trung,Thanh Xuân,Hà Nội,6,6,72.0,12.0,6.0,nha
22656433,40.0,6.95,"Bán Nhà hẻm, ngõ Giáp Nhị",Sổ đỏ,2025-10-24,Giáp Nhị - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,4,6,40.0,12.0,3.5,nha
22551639,60.0,12.5,"Bán Nhà mặt tiền, phố Hạ Yên Quyết",Sổ đỏ,2025-10-24,Hạ Yên Quyết - Phường Yên Hòa,Cầu Giấy,Hà Nội,10,10,60.0,15.0,4.0,nha
22706231,110.0,42.0,"Bán Nhà mặt tiền, phố Nguyễn Xiển",Sổ đỏ,2025-10-24,Nguyễn Xiển - Phường Hạ Đình,Thanh Xuân,Hà Nội,8,8,110.0,12.0,9.0,nha
