ma_bds,dien_tich_su_dung_m2,gia(ty),phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,gia_per_m2
21835615,97.0,0.082,Sổ đỏ,2025-06-22,Giáp Bát - Phường Đại Kim,Hoàng Mai,Hà Nội,,,97.0,0.845360824742268
21820836,80.0,0.09,Giấy tờ hợp lệ,2025-06-22,Giáp Bát - Phường Đại Kim,Hoàng Mai,Hà Nội,5,5,79.0,1.125
21648906,76.0,0.075,Sổ đỏ,2025-06-22,Vành Đai 3,None,Hà Nội,5,5,76.0,0.9868421052631579
21554571,90.0,0.065,Giấy tờ hợp lệ,2025-06-22,Giáp Bát - Phường Đại Kim,Hoàng Mai,Hà Nội,,,90.0,0.7222222222222222
21542666,74.0,3.0,Hợp đồng mua bán,2025-06-22,Giáp Bát - Phường Đại Kim,Hoàng Mai,Hà Nội,4,1,74.0,40.54054054054054
21198592,71.0,4.615,Sổ đỏ,2025-06-22,Phan Trọng Tuệ,None,Hà Nội,4,3,71.0,65.0
22584456,350.0,25.0,Sổ đỏ,2025-06-22,Vành Đai 3 - Phường Đại Kim,Hoàng Mai,Hà Nội,5,3,75.0,71.42857142857143
22631364,320.0,24.999,Sổ đỏ,2025-06-22,Tân Mai - Phường Hoàng Văn Thụ,Hoàng Mai,Hà Nội,6,6,100.0,78.121875
22631861,130.0,5.8,Sổ đỏ,2025-06-22,Nguyễn Đức Cảnh - Phường Tương Mai,Hoàng Mai,Hà Nội,3,,,44.61538461538461
22633710,75.0,19.0,Sổ đỏ,2025-06-22,Vành Đai 3 - Phường Yên Sở,Hoàng Mai,Hà Nội,5,5,118.0,253.33333333333334
22636485,332.0,19.0,Sổ đỏ,2025-06-22,Tam Trinh - Phường Yên Sở,Hoàng Mai,Hà Nội,5,5,118.0,57.2289156626506
22638059,320.0,24.999,Sổ đỏ,2025-06-22,Tam Trinh - Phường Yên Sở,Hoàng Mai,Hà Nội,,4,118.0,78.121875
22662476,115.0,36.6,Sổ đỏ,2025-06-22,Lò Đúc - Phường Đống Mác,Hai Bà Trưng,Hà Nội,1,1,115.0,318.2608695652174
22683319,96.0,8.287,Giấy tờ hợp lệ,2025-06-22,Giáp Bát - Phường Đại Kim,Hoàng Mai,Hà Nội,,,97.0,86.32291666666667
22665272,57.0,39.0,Sổ đỏ,2025-06-22,Bùi Thị Xuân - Phường Bùi Thị Xuân,Hai Bà Trưng,Hà Nội,5,5,57.0,684.2105263157895
22692128,52.0,9.5,Sổ đỏ,2025-06-22,Cầu Giấy - Phường Quan Hoa,Cầu Giấy,Hà Nội,7,5,52.0,182.69230769230768
22692131,100.0,2.5,Sổ đỏ,2025-06-22,Hoà Thạch,None,Hà Nội,,,100.0,25.0
22664287,250.0,19.5,Sổ đỏ,2025-06-21,Chùa Láng - Phường Láng Thượng,Đống Đa,Hà Nội,4,4,50.0,78.0
22664299,250.0,13.5,Sổ đỏ,2025-06-21,Nguyễn Văn Huyên - Phường Quan Hoa,Cầu Giấy,Hà Nội,4,4,50.0,54.0
22664318,450.0,30.0,Sổ đỏ,2025-06-21,Vạn Phúc - Phường Cống Vị,Ba Đình,Hà Nội,8,9,50.0,66.66666666666667
22666214,,77.0,Sổ đỏ,2025-06-21,Khúc Thừa Dụ - Phường Dịch Vọng,Cầu Giấy,Hà Nội,,,126.0,
22666197,55.0,3.95,Sổ đỏ,2025-06-21,Hoàng Đạo Thúy - Phường Nhân Chính,Thanh Xuân,Hà Nội,2,2,,71.81818181818181
22667424,,31.8,Sổ đỏ,2025-06-21,Vũ Phạm Hàm - Phường Yên Hòa,Cầu Giấy,Hà Nội,7,7,80.0,
22667422,126.0,7.5,Sổ đỏ,2025-06-21,Tú Mỡ - Phường Trung Hòa,Cầu Giấy,Hà Nội,3,2,,59.523809523809526
22668502,90.0,6.0,Sổ đỏ,2025-06-21,Phạm Hùng - Phường Trung Hòa,Cầu Giấy,Hà Nội,3,2,,66.66666666666667
22682062,,25.0,Sổ đỏ,2025-06-21,Hoàng Quốc Việt - Phường Nghĩa Tân,Cầu Giấy,Hà Nội,5,5,60.0,
22690621,151.0,9.815,Sổ đỏ,2025-06-21,Hoàng Đạo Thúy - Phường Trung Hòa,Cầu Giấy,Hà Nội,3,3,,65.0
22682252,,25.0,Sổ đỏ,2025-06-21,Xuân La - Phường Xuân La,Tây Hồ,Hà Nội,7,6,75.0,
22682258,,55.5,Sổ đỏ,2025-06-21,Lạc Long Quân - Phường Xuân La,Tây Hồ,Hà Nội,,,238.0,
22682020,,39.6,Sổ đỏ,2025-06-21,Xuân La - Phường Xuân La,Tây Hồ,Hà Nội,6,5,101.0,
22679464,,32.0,Sổ đỏ,2025-06-21,Xuân La - Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,30,30,100.0,
22677016,,45.0,Sổ đỏ,2025-06-21,Lê Văn Lương - Phường Nhân Chính,Thanh Xuân,Hà Nội,5,4,80.0,
22676238,,19.5,Sổ đỏ,2025-06-21,Mạc Thái Tổ - Phường Yên Hòa,Cầu Giấy,Hà Nội,4,4,45.0,
22674422,,45.0,Sổ đỏ,2025-06-21,Hàm Nghi - Phường Mỹ Đình 2,Nam Từ Liêm,Hà Nội,5,6,100.0,
22674404,,18.0,Sổ đỏ,2025-06-21,Nguyễn Văn Huyên - Phường Quan Hoa,Cầu Giấy,Hà Nội,18,18,65.0,
22670871,74.0,6.55,Sổ đỏ,2025-06-21,Lê Văn Thiêm - Phường Nhân Chính,Thanh Xuân,Hà Nội,2,1,,88.51351351351352
22669010,250.0,130.0,Sổ đỏ,2025-06-21,Khúc Thừa Dụ - Phường Dịch Vọng,Cầu Giấy,Hà Nội,,,250.0,520.0
22667948,94.0,6.0,Sổ đỏ,2025-06-21,Hồ Tùng Mậu - Phường Phú Diễn,Bắc Từ Liêm,Hà Nội,3,2,,63.829787234042556
22667530,120.0,68.0,Sổ đỏ,2025-06-21,Phan Văn Trường - Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,,,,566.6666666666666
22667165,,32.5,Sổ đỏ,2025-06-21,Trung Kính - Phường Yên Hòa,Cầu Giấy,Hà Nội,7,7,70.0,
22666533,,12.5,Sổ đỏ,2025-06-21,Trung Kính - Phường Trung Hòa,Cầu Giấy,Hà Nội,3,4,30.0,
22665965,,24.3,Sổ đỏ,2025-06-21,Vành Đai 3.5,None,Hà Nội,,,150.0,
22665482,59.0,5.5,Sổ đỏ,2025-06-21,Trần Kim Xuyến - Phường Yên Hòa,Cầu Giấy,Hà Nội,2,2,,93.22033898305085
22664664,,31.0,Sổ đỏ,2025-06-21,Trung Kính - Phường Yên Hòa,Cầu Giấy,Hà Nội,4,3,66.0,
22665343,,29.0,Sổ đỏ,2025-06-21,Giảng Võ - Phường Giảng Võ,Ba Đình,Hà Nội,5,4,55.0,
22682180,,70.0,Sổ đỏ,2025-06-21,Nguyễn Quốc Trị - Phường Trung Hòa,Cầu Giấy,Hà Nội,6,6,105.0,
